1.52871,0.474791
0.391384,3.57058
1.76331,0.711402
1.55321,1.72423
1.26004,0.763906
1.11922,2.85418
0.75637,0.265598
0.766624,0.753641
0.971124,1.25975
3.49159,2.10826
2.60115,2.52044
1.47855,0.0203816
-1.04889,0.318165
1.14362,0.409202
1.6321,1.59181
-0.909853,1.19174
1.37242,1.61771
-0.140295,1.12547
-0.566357,0.77559
0.659382,1.42488
1.53937,1.43893
-0.503041,2.55805
0.0923757,-0.0467227
0.233603,0.766467
0.604686,1.15785
0.0458847,0.0584499
2.69047,1.7773
1.50683,1.75548
-0.450753,0.925843
0.783691,2.67155
1.6387,0.940221
0.521205,1.29877
-0.65402,2.4275
1.68225,2.4714
-0.911083,1.99792
0.57236,0.457943
2.3334,0.670496
1.27993,1.00977
0.240323,2.23736
1.47844,-0.0067668
0.263274,0.986323
1.04608,2.91486
-0.102523,2.0798
0.26953,0.875129
1.31633,2.24019
0.512356,0.532732
0.895455,2.34064
1.0139,-0.220745
0.373309,2.54014
1.52342,-0.6783
2.11063,1.79109
0.801319,2.7847
0.686474,0.105892
3.10096,1.21932
0.0824828,0.828765
-1.02239,1.65062
-1.27592,0.485257
0.540319,1.87098
-0.71955,0.669065
1.45285,2.60999
1.61279,0.28709
0.661479,2.12277
1.99607,1.0023
0.395885,1.09756
-0.38706,1.14203
1.38768,2.04916
-0.0979092,1.57271
1.30692,0.507576
1.38492,0.837737
0.0441275,-0.249219
1.42674,0.341381
1.51538,1.82912
2.46907,1.59566
0.377536,0.567062
1.39433,1.34245
0.686965,0.764307
0.698786,1.033
0.882731,0.00429529
1.81151,2.09955
0.217344,1.07979
-0.376824,0.70769
-0.0874479,2.0178
-0.505034,0.64389
2.02957,3.46084
-0.056759,1.40018
1.55405,1.00495
1.46911,1.21618
0.443126,-0.0524724
1.0366,0.996873
1.24543,0.210797
0.865093,0.121305
0.685543,1.59096
1.72492,0.265292
-0.319658,0.604663
2.32835,2.63353
-0.669606,-1.40105
2.69706,2.23229
